UPC	RECEIPT ALIAS	BRAND	SIZE	MSRP	VENDOR
000046001405	MONARCH LABEL 1110 RED  	MONARCH	1CT		CAPITAL CANDY
000072808702	UVP POTATO 10 LB WHITE	UVP	SPLIT	6.89	CAPITAL CANDY
000072812709	UVP GARLIC LOOSE 1 LB	UVP	1 LB	6.09	CAPITAL CANDY
000072831601	UVP GINGER FRESH 1 LB	UVP	1 LB	5.79	CAPITAL CANDY
000072902301	ALEHOUSE CHEDDAR CHEESE	VERMONT FARMSTEAD	7 OZ	7.02	CAPITAL CANDY
000081507108	MCKENZIE/MAPLE SAUSAGE 2378 RW	MCKENZIE	1 LB	4.69	CAPITAL CANDY
21000612239	PHILI CRM CHZ PLAIN 8 OZ.	PHILADELPHIA	8OZ	3.39	CAPITAL CANDY
021200620133	DELTA HOLE HANGING TABS 10 CT	DELTA	PKT	1.05	CAPITAL CANDY
024452095100	HOT DOGS MCKENZIE SKNL 10:1 BOX	MCKENZIE	5LB BOX	26.99	CAPITAL CANDY
027200366026	BUGLER CIG TOBACCO POUCH .65Z	BUGLER	1PK	8.99	CAPITAL CANDY
028028014427	MONARCH LABEL 1110 YELLOW  	MONARCH	17.00 M		CAPITAL CANDY
033900002706	JONES SAUSAGE PATTIES 107/1.5 OZ	JONES	10 LB	40.39	CAPITAL CANDY
043413050101	TWISTEMS 1/2000 TIES	TWISTEMS	2000		CAPITAL CANDY
044600311821	CHARCOAL 1/15.4 LB (KINGSFORD)	KINGSFORD	1/15.4 LB	15.09	CAPITAL CANDY
047995000806	AMER SPIR POU  BLUE	AMERICAN SPIRIT	40 GR	19.39	CAPITAL CANDY
047995000820	AMER SPIR POC TOB ORGA RED	AMERICAN SPIRIT	40 GR	19.39	CAPITAL CANDY
047995000837	AMER SPIR POU TOB DK BLU	AMERICAN SPIRIT	40 GR	19.39	CAPITAL CANDY
047995000844	AMER SPIR POU PERIQUE BLEND	AMERICAN SPIRIT	40 GR	19.39	CAPITAL CANDY
047995100100	AMER SPIRIT CAN TOBACCO BLUE	AMERICAN SPIRIT	150 GRAM	68.79	CAPITAL CANDY
49200048702	DOMINO 25LB SUGAR	DOMINO 	25LB		CAPITAL CANDY
70247723427	BACON SLI SLAB 14/18 30 LB	FARMLAND FOODS	30 LB	138.09	CAPITAL CANDY
070462433098	SOUR PATCH KIDS 1.9 LB BAG	SOUR PATCH KIDS	1CT	9.19	CAPITAL CANDY
71555650064	CLOTHESLINE 50 FT	MY HELPER	1CT	1.99	CAPITAL CANDY
71737408001	CAPTAIN BLACK ROYAL POUCH	CAPTAIN BLACK	1PK	13.09	CAPITAL CANDY
74729712209	SEAL WRAP 12 IN ROLL 2000 FT	DURABLE PACKAGING INTERNATIONAL	1CT		CAPITAL CANDY
74825225699	VT SALSA CO SALSA VERDE MED 12OZ	VERMONT	12OZ	5.69	CAPITAL CANDY
76308909574	DUCT TAPE 1.88 IN 30 YDS	DUCK	1CT	8.19	CAPITAL CANDY
77170460019	DRUM TOBACCO POUCH 1CT	BEAUTIFUL ONES	1CT	15.89	CAPITAL CANDY
78684735198	FRY CANOLA OIL 35LB (5GALS)	PAM	35LBS	.05   5	CAPITAL CANDY
79594184120	GROCERY BAG 12 LB 500CT	DURO BAG MFG	500CT		CAPITAL CANDY
079594298216	GROCERY BAG 20# SHORTY 500 CT	DURO BAG MFG	500CT		CAPITAL CANDY
079594800761	GROCERY BAG 57 1/6 BL 500 PLAIN	DURO BAG MFG	500CT		CAPITAL CANDY
079594800839	GROCERY BAG 57 1/8 BBL 500 CT.	DURO BAG MFG	500CT		CAPITAL CANDY
94922270795	MAPLE WALNUT 16OZ	VERMONT PEANUT BUTTER	16OZ	9.49	CAPITAL CANDY
094922270801	ORGANIC CREAMY 16Z	VERMONT PEANUT BUTTER	JAR	7.09	CAPITAL CANDY
094922270818	ORGANIC CHUNKY 16Z	VERMONT PEANUT BUTTER	JAR	7.09	CAPITAL CANDY
307710095018	HOT DOGS MCKENZIE N/C 8:1	MCKENZIE	2/5 LB	63.99	CAPITAL CANDY
602793000894	"MEAT WRAP WHITE 18"" PAPER ROLL"	GORDON	900FT		CAPITAL CANDY
610546351742	KING HENRY SUNFLOWER SEEDS 1 CT	KING HENRY	1CT	.99	CAPITAL CANDY
696859100277	N.COUNTRY CAYENNE 5OZ	BLOODROOT MTN	5OZ	4.09	CAPITAL CANDY
727351038314	SEAL WRAP 18 IN 2000 FT.	PRIMUS SOURCE	1CT		CAPITAL CANDY
727351105276	DELI BAG 9.5X10.5 IN 2M SP-6	JACKS NATURAL FOODS	2000CT		CAPITAL CANDY
727875036025	HEINZ JUG PUMPS	HEINZ			CAPITAL CANDY
758108115446	GLENVIEW 4X4 SWISS CHEESE1/6 RW	GLENVIEW	1/6 LB	9.15	CAPITAL CANDY
