UPC	length	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
000228470022	y	QUATTRO MANI BARBERA 2014	QUATTRO MANI BARBERA 2014	DOMAINE SELECT WINE ESTATE	750 ML	11.25	106361	PINNACLE IMPORTS	CS	12
000228470022	y	PARAISO CHRDNY 2014	PARAISO CHRDNY 2014	PARAISO VINEYARDS	750 ML	15	126510	PINNACLE IMPORTS	CS	12
001286937613	y	CUVEE FRDDY AGED IN OAK BARREL	CUVEE FRDDY AGED IN OAK BARREL	B. UNITED	11.2 OZ		119854	PINNACLE IMPORTS	CS	24
002284700233	y	PARAISO PN NOIR 2015	PARAISO PINOT NOIR 2015	PARAISO VINEYARDS	750 ML	16.5	126520	PINNACLE IMPORTS	CS	12
004026710080	y	VALL OF THE MOON SONOMA ZINF 12	VALL OF THE MOON SONOMA ZINF 12	VALLEY OF THE MOON	750 ML	17.25	104250	PINNACLE IMPORTS	CS	12
004095127511	y	ST SUPERY OAK FR CHRDNY 2016	ST SUPERY OAK FR CHRDNY 2016	ST. SUPERY	750 ML	16.5	103600	PINNACLE IMPORTS	CS	12
004095147511	y	ST SUPERY MOSCATO 2016	ST SUPERY MOSCATO 2016	ST. SUPERY	750 ML	18.75	103670	PINNACLE IMPORTS	CS	12
004095157511	y	ST SUPERY RUTHERFORD MERLOT 2013	ST SUPERY RUTHERFORD MERLOT 2013	ST. SUPERY	750 ML	37.5	10366010	PINNACLE IMPORTS	CS	6
004524359000	y	SPRECHER HEFE WEISS HALFBBL	SPRECHER HEFE WEISS HALFBBL	SPRECHER BREWERY	1/2 BB L		304080	PINNACLE IMPORTS	EA	1
004951875142	y	ST SUPERY ELU RD MERITAGE 13	ST SUPERY ELU RD MERITAGE 13	ST. SUPERY	750 ML	54	10365013	PINNACLE IMPORTS	CS	6
006206702860	y	ST SUPERY RUTHERFORD CAB SAUV 12	ST SUPERY RUTHERFORD CAB SAUV 12	ST. SUPERY	750 ML	72	122761	PINNACLE IMPORTS	CS	6
006206703871	y	CAFE PAUSA CHICCA 11.2OZ	CAFE PAUSA CHICCA 18PK 11.2OZ	B. UNITED	11.2 OZ		302040	PINNACLE IMPORTS	CS	24
009479910034	y	POST SCRIPTUM DE CHRYSEIA 2013	POST SCRIPTUM DE CHRYSEIA 2013	PREMIUM PORT WINES	750 ML	20.25	108681	PINNACLE IMPORTS	CS	6
009819400208	y	BRIFICIO DUCATO BRUNE DEL DUCATO	BRIFICIO DUCATO BRUNE DEL DUCATO	B. UNITED	11.2 OZ		124054	PINNACLE IMPORTS	CS	12
009819400208	y	ONEHOPE PN NOIR FOR PAWS 2015	ONEHOPE PINOT NOIR FOR PAWS 2015	ONE HOPE	750 ML	12.75	102790	PINNACLE IMPORTS	CS	12
009947955055	y	VIN DE PAYS VIOGNIER 2016	BROTTE VIN DE PAYS VIOGNIER 2016	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	9.75	126106	PINNACLE IMPORTS	CS	12
011443260104	y	CARTLIDGE & BROWNE CHARD 2015	CARTLIDGE & BROWNE CHARD 2015	VINTAGE WINE ESTATES	750 ML	10.5	100460	PINNACLE IMPORTS	CS	12
011443260111	y	CARTLIDGE & BROWNE PN NOIR 15	CARTLIDGE & BROWNE PINOT NOIR 15	VINTAGE WINE ESTATES	750 ML	12.75	100490	PINNACLE IMPORTS	CS	12
011443260142	y	CARTLIDGE & BROWNE MERLOT 15	CARTLIDGE & BROWNE MERLOT 15	VINTAGE WINE ESTATES	750 ML	10.5	100480	PINNACLE IMPORTS	CS	12
011443260234	y	ALTA MARIA VNYRDS BIEN NACIDO 13	ALTA MARIA VNYRDS BIEN NACIDO 13	ALTA MARIA VINEYARDS	750 ML	39	125412	PINNACLE IMPORTS	CS	12
011443260234	y	CARTLIDGE & BROWNE CAB SAUV 16	CARTLIDGE & BROWNE CAB SAUV 16	VINTAGE WINE ESTATES	750 ML	10.5	100440	PINNACLE IMPORTS	CS	12
011443321010	y	ALTA MARIA VNYRDS CHRDNY 2013	ALTA MARIA VNYRDS CHRDNY 2013	ALTA MARIA VINEYARDS	750 ML	23.25	125410	PINNACLE IMPORTS	CS	12
012086001314	y	HAKUTSURU SAKE NIGORI SAYURI	HAKUTSURU SAKE NIGORI SAYURI 6PK	SAKE ONE	720 ML	12	107670	PINNACLE IMPORTS	CS	6
012086005589	y	HAKUTSURU ORG JUNMAI SAKE 300ML	HAKUTSURU ORG JUNMAI SAKE 300ML	SAKE ONE	300 ML	7.5	107620	PINNACLE IMPORTS	CS	12
012086005848	y	CH. LEYTRIE (LIDEYRE) 2009	CH. LEYTRIE (LIDEYRE) 2009	PINNACLE IMPORTS	750 ML	18	117390	PINNACLE IMPORTS	CS	12
012086006418	y	CH. PLINCE POMEROL 2010	CH. PLINCE POMEROL 2010	DREYFUS - ASHBY	750 ML	51.25	11391010	PINNACLE IMPORTS	CS	12
012086006494	y	CH. BELAIR ST EMILION 2014	CH. BELAIR ST EMILION 2014 6PK	DREYFUS - ASHBY	750 ML	121	11324010	PINNACLE IMPORTS	CS	6
012086009136	y	DDO ROSEROCK CHARD 2014	DDO ROSEROCK CHARD 2014	DREYFUS - ASHBY	750 ML	30	122732	PINNACLE IMPORTS	CS	6
012086009150	y	DDO ROSEROCK PN NOIR 2014	DDO ROSEROCK PINOT NOIR 2014	DREYFUS - ASHBY	750 ML	30	122731	PINNACLE IMPORTS	CS	6
012086064258	y	CH. LATOUR A POMEROL 2014	CH. LATOUR A POMEROL 2014	DREYFUS - ASHBY	750 ML	100	11371010	PINNACLE IMPORTS	CS	12
012086274411	y	HAKUTSURU PLUM WINE	HAKUTSURU PLUM WINE	SAKE ONE	750 ML	11.25	107671	PINNACLE IMPORTS	CS	12
012086312014	y	DROUHIN MACON VILLAGE 2016	DROUHIN MACON VILLAGE 2016	DREYFUS - ASHBY	750 ML	12.75	112290	PINNACLE IMPORTS	CS	12
012086313318	y	DROUHIN LAFORET CHRDNY 2014	DROUHIN LAFORET CHRDNY 2014	DREYFUS - ASHBY	750 ML	13.5	112270	PINNACLE IMPORTS	CS	12
012086313912	y	DROUHIN ST VERAN 2015	DROUHIN ST VERAN 2015	DREYFUS - ASHBY	750 ML	17.25	112340	PINNACLE IMPORTS	CS	12
012086331015	y	DROUHIN POUILLY FUISSE 2016	DROUHIN POUILLY FUISSE 2016	DREYFUS - ASHBY	750 ML	24.75	11231011	PINNACLE IMPORTS	CS	12
012086331015	y	DROUHIN POULLIY FUISSE 2008	DROUHIN POULLIY FUISSE 2008	DREYFUS - ASHBY	750 ML	12.5	114270	PINNACLE IMPORTS	CS	12
012086413735	y	HAKUTSURU SAKE DRAFT SAKE 180 ML	HAKUTSURU SAKE DRAFT SAKE 180 ML	SAKE ONE	180 ML	3.75	107690	PINNACLE IMPORTS	CS	30
012086507014	y	DROUHIN BEAUJOL VILLGS CRU RD 14	DROUHIN BEAUJOL VILLGS CRU RD 14	DREYFUS - ASHBY	750 ML	14.25	113120	PINNACLE IMPORTS	CS	12
12086515613	y	EINBECKER WINTER-BOCK DOPPLEBOCK	EINBECKER WINTER-BOCK DOPPLEBOCK	B. UNITED	11.2 OZ		123000	PINNACLE IMPORTS	CS	24
012086522013	y	DROUHIN VAUDON CHABLIS 2015	DROUHIN VAUDON CHABLIS 2015	DREYFUS - ASHBY	750 ML	18.75	112250	PINNACLE IMPORTS	CS	12
012086766510	y	DDO ARTHUR CHARD 2015	DDO ARTHUR CHARD 2015	DREYFUS - ASHBY	750 ML	28.5	116390	PINNACLE IMPORTS	CS	6
012086837029	y	HAKUTSURU SAKE DRAFT SAKE 300ML	HAKUTSURU SAKE DRAFT SAKE 300ML	SAKE ONE	300 ML	6.75	107700	PINNACLE IMPORTS	CS	20
012086860218	y	BRAULIO AMARO	BRAULIO AMARO	DOMAINE SELECT WINE ESTATE	1.0 L	24.5	124540	PINNACLE IMPORTS	CS	6
12086860218	y	EINBECKER UR BOCK DUNKEL 30L KEG	EINBECKER UR BOCK DUNKEL 30L KEG	B. UNITED	30.0 L		305040	PINNACLE IMPORTS	EA	1
012086860218	y	DDO PN NOIR 2015	DDO PINOT NOIR 2015 6PK	DREYFUS - ASHBY	750 ML	35.25	10456012	PINNACLE IMPORTS	CS	6
012086862823	y	HAKUTSURU SUP SAKE JUNMAI GINJO	HAKUTSURU SUP SAKE JUNMAI GINJO	SAKE ONE	300 ML	7.5	107660	PINNACLE IMPORTS	CS	12
012086862854	y	HAKUTSURU SUP SAKE JUNMAI-GINJO	HAKUTSURU SUP SAKE JUNMAI-GINJO	SAKE ONE	720 ML	15	107650	PINNACLE IMPORTS	CS	6
012086862854	y	CH. ROUGET 2014	CH. ROUGET 2014	DREYFUS - ASHBY	750 ML	53.25	125000	PINNACLE IMPORTS	CS	12
012086880414	y	DDO LAURENE PN NOIR 2012	DDO LAURENE PINOT NOIR 2012 6PK	DREYFUS - ASHBY	750 ML	52.5	11425011	PINNACLE IMPORTS	CS	6
